1|0|100|Charlie|2025-12-01|12|180|208.0|1
2|1|101|Alice|2025-12-01|15|60|90.0|0
3|2|104|JiaWen|2025-12-01|16|180|258.0|1
4|0|102|WeiNie|2025-12-02|13|120|190.0|1
5|1|103|JieMin|2025-12-02|15|120|218.0|0
6|2|100|WeiYee|2025-12-03|12|180|208.0|1
7|0|101|Stella|2025-12-03|15|60|90.0|0
8|2|103|WeiYee|2025-12-10|12|180|268.0|1
9|1|104|WeiNie|2025-12-12|13|120|208.0|0
10|0|101|Charlie|2025-12-12|12|180|264.48|1
11|1|100|Marcus|2025-12-15|14|60|88.0|0
12|2|101|Ling|2025-12-16|13|120|185.0|1
13|0|102|HuiYing|2025-12-17|16|60|95.0|0
14|1|103|David|2025-12-18|12|180|260.0|1
15|2|104|Marcus|2025-12-19|15|120|210.0|0
16|2|102|JiaWen|2025-12-22|15|60|92.0|1
17|0|103|Stella|2025-12-23|12|180|248.0|0
18|1|104|WeiYee|2025-12-24|13|120|215.0|1
19|2|100|Marcus|2025-12-26|14|60|88.0|0
20|2|103|Charlie|2025-12-29|12|60|95.0|1
21|0|104|JiaWen|2025-12-29|13|180|255.0|0
22|1|100|WeiNie|2025-12-30|14|120|190.0|1
23|2|101|Alice|2025-12-30|15|60|90.0|0
24|0|102|Marcus|2025-12-30|16|180|270.0|1
25|1|103|Stella|2025-12-31|12|120|210.0|0
26|2|104|WeiYee|2025-12-31|13|180|265.0|1
